elvish,english
aha,rage
aha,RAGE
aha,Rage
ahtar-,to do back
ahtar-,TO DO BACK
ahtar-,To do back
ahtar-,react; to requite
ahtar-,REACT; TO REQUITE
ahtar-,React; to requite
ahtar-,avenge
ahtar-,AVENGE
ahtar-,Avenge
accar-,to do back
accar-,TO DO BACK
accar-,To do back
accar-,react; to requite
accar-,REACT; TO REQUITE
accar-,React; to requite
accar-,avenge
accar-,AVENGE
accar-,Avenge
ahto,wright
ahto,WRIGHT
ahto,Wright
ahto,maker
ahto,MAKER
ahto,Maker
ahya-,to change
ahya-,TO CHANGE
ahya-,To change
ai²,supposing
ai²,SUPPOSING
ai²,Supposing
ai²,suppose
ai²,SUPPOSE
ai²,Suppose
ai²,maybe
ai²,MAYBE
ai²,Maybe
aian,holy thing
aian,HOLY THING
aian,Holy thing
aian,object
aian,OBJECT
aian,Object
aian,place
aian,PLACE
aian,Place
aica,fell
aica,FELL
aica,Fell
aica,terrible
aica,TERRIBLE
aica,Terrible
aica,dire
aica,DIRE
aica,Dire
ailin,a large lake
ailin,A LARGE LAKE
ailin,A large lake
aina,holy
aina,HOLY
aina,Holy
aina,revered
aina,REVERED
aina,Revered
aina,numinous
aina,NUMINOUS
aina,Numinous
aina-,to hallow
aina-,TO HALLOW
aina-,To hallow
aina-,bless
aina-,BLESS
aina-,Bless
aina-,treat as holy
aina-,TREAT AS HOLY
aina-,Treat as holy
ainas,hallow
ainas,HALLOW
ainas,Hallow
ainas,fane
ainas,FANE
ainas,Fane
ainima,blessed
ainima,BLESSED
ainima,Blessed
ainima,holy (of things)
ainima,HOLY (OF THINGS)
ainima,Holy (of things)
Ainu,holy one
Ainu,HOLY ONE
Ainu,Holy one
Ainu,spirit
Ainu,SPIRIT
Ainu,Spirit
aira,holy
aira,HOLY
aira,Holy
aira,sanctified
aira,SANCTIFIED
aira,Sanctified
airë²,sea
airë²,SEA
airë²,Sea
airëa,holy (applied to persons)
airëa,HOLY (APPLIED TO PERSONS)
airëa,Holy (applied to persons)
airita-,to hallow
airita-,TO HALLOW
airita-,To hallow
airon,ocean
airon,OCEAN
airon,Ocean
aista,*holy
aista,*HOLY
aistana,*blessed
aistana,*BLESSED
manna,*blessed
manna,*BLESSED
aiwë,(small) bird
aiwë,(SMALL) BIRD
ala-¹,to plant
ala-¹,TO PLANT
ala-¹,To plant
ala-¹,grow
ala-¹,GROW
ala-¹,Grow
ala-²,to deny; *to not be
ala-²,TO DENY; *TO NOT BE
ala-²,To deny; *to not be
alacarna,well-done
alacarna,WELL-DONE
alacarna,Well-done
alacarna,well-made
alacarna,WELL-MADE
alacarna,Well-made
alahasta,unmarred
alahasta,UNMARRED
alahasta,Unmarred
úχarin,unmarred
úχarin,UNMARRED
úχarin,Unmarred
úharin,unmarred
úharin,UNMARRED
úharin,Unmarred
alahen,eyeless
alahen,EYELESS
alahen,Eyeless
alalmë,inflorescence
alalmë,INFLORESCENCE
alalmë,Inflorescence
alalbë,inflorescence
alalbë,INFLORESCENCE
alalbë,Inflorescence
alalvëa,having many elms
alalvëa,HAVING MANY ELMS
alalvëa,Having many elms
alamen,good omen on departure
alamen,GOOD OMEN ON DEPARTURE
alamen,Good omen on departure
alanessë,nicotiana
alanessë,NICOTIANA
alanessë,Nicotiana
alanessë,pipeweed
alanessë,PIPEWEED
alanessë,Pipeweed
alenessë,nicotiana
alenessë,NICOTIANA
alenessë,Nicotiana
alenessë,pipeweed
alenessë,PIPEWEED
alenessë,Pipeweed
alaquenta,well (happily) said
alaquenta,WELL (HAPPILY) SAID
alaquenta,Well (happily) said
alasaila,unwise
alasaila,UNWISE
alasaila,Unwise
alassë,happiness
alassë,HAPPINESS
alassë,Happiness
alca-,to glitter
alca-,TO GLITTER
alca-,To glitter
alcar,glory
alcar,GLORY
alcar,Glory
alcar,splendour
alcar,SPLENDOUR
alcar,Splendour
alcar,radiance
alcar,RADIANCE
alcar,Radiance
alcar,brilliance
alcar,BRILLIANCE
alcar,Brilliance
alcarin(qua),glorious
alcarin(qua),GLORIOUS
alcarin(qua),Glorious
alcarin(qua),brilliant
alcarin(qua),BRILLIANT
alcarin(qua),Brilliant
alda,tree
alda,TREE
alda,Tree
aldarembina,tree-meshed
aldarembina,TREE-MESHED
aldarembina,Tree-meshed
Aldëa,*Tuesday
Aldëa,*tuesday
Aldëa,*TUESDAY
Aldëa,*tuesday
Aldëa,Tree-day (Númenórean)
Aldëa,tree-day (númenórean)
Aldëa,TREE-DAY (NÚMENÓREAN)
Aldëa,Tree-day (númenórean)
aldinga,tree-top
aldinga,TREE-TOP
aldinga,Tree-top
Aldúya,*Tuesday
Aldúya,*tuesday
Aldúya,*TUESDAY
Aldúya,*tuesday
Aldúya,Day of the Two Trees
Aldúya,day of the two trees
Aldúya,DAY OF THE TWO TREES
Aldúya,Day of the two trees
Aldauya,*Tuesday
Aldauya,*tuesday
Aldauya,*TUESDAY
Aldauya,*tuesday
Aldauya,Day of the Two Trees
Aldauya,day of the two trees
Aldauya,DAY OF THE TWO TREES
Aldauya,Day of the two trees
aleldarin,unelvish
aleldarin,UNELVISH
aleldarin,Unelvish
aleldarinwa,unElvish
aleldarinwa,unelvish
aleldarinwa,UNELVISH
aleldarinwa,Unelvish
alima,fair
alima,FAIR
alima,Fair
alima,good
alima,GOOD
alima,Good
allumë,never
allumë,NEVER
allumë,Never
alma,flower
alma,FLOWER
alma,Flower
alba,flower
alba,FLOWER
alba,Flower
almë,good (or blessed) thing
almë,GOOD (OR BLESSED) THING
almë,Good (or blessed) thing
almë,blessing
almë,BLESSING
almë,Blessing
almë,piece of good fortune
almë,PIECE OF GOOD FORTUNE
almë,Piece of good fortune
alqua,swan
alqua,SWAN
alqua,Swan
alvë,elm
alvë,ELM
alvë,Elm
albë,elm
albë,ELM
albë,Elm
alya,fair
alya,FAIR
alya,Fair
alya,good
alya,GOOD
alya,Good
alya-,to cause to prosper
alya-,TO CAUSE TO PROSPER
alya-,To cause to prosper
alya-,bless (a work)
alya-,BLESS (A WORK)
alya-,Bless (a work)
alya-,help one
alya-,HELP ONE
alya-,Help one
amaltil,*mother finger
amaltil,*MOTHER FINGER
amanya,*blessed
amanya,*BLESSED
amaurë,dawn
amaurë,DAWN
amaurë,Dawn
amaurë,early day
amaurë,EARLY DAY
amaurë,Early day
amaurë,morning
amaurë,MORNING
amaurë,Morning
amaurëa,dawn
amaurëa,DAWN
amaurëa,Dawn
amaurëa,early day
amaurëa,EARLY DAY
amaurëa,Early day
amaurëa,morning
amaurëa,MORNING
amaurëa,Morning
amba¹,up(wards)
amba¹,UP(WARDS)
amba¹,Up(wards)
ambalotsë,uprising-flower
ambalotsë,UPRISING-FLOWER
ambalotsë,Uprising-flower
Ambar,The World
Ambar,the world
Ambar,THE WORLD
Ambar,The world
Ambar,Earth
Ambar,earth
Ambar,EARTH
Ambar,(lit.) Habitation
Ambar,(lit.) habitation
Ambar,(LIT.) HABITATION
Ambar,(lit.) habitation
Ambar,Settlement
Ambar,settlement
Ambar,SETTLEMENT
Imbar,Habitation
Imbar,habitation
Imbar,HABITATION
ambarónë,dawn
ambarónë,DAWN
ambarónë,Dawn
ambë,more
ambë,MORE
ambë,More
ambela,further still beyond
ambela,FURTHER STILL BEYOND
ambela,Further still beyond
ambela,far away beyond
ambela,FAR AWAY BEYOND
ambela,Far away beyond
am(be)na,nearer to
am(be)na,NEARER TO
am(be)na,Nearer to
amna,nearer to
amna,NEARER TO
amna,Nearer to
ambo,hill
ambo,HILL
ambo,Hill
ambo,rising ground
ambo,RISING GROUND
ambo,Rising ground
ambo,mount
ambo,MOUNT
ambo,Mount
ambona,hill
ambona,HILL
ambona,Hill
ambuna,hilly
ambuna,HILLY
ambuna,Hilly
amilessë,mother-name
amilessë,MOTHER-NAME
amilessë,Mother-name
amil(lë),mother
amil(lë),MOTHER
amil(lë),Mother
emil,mother
emil,MOTHER
emil,Mother
emmë²,mummy
emmë²,MUMMY
emmë²,Mummy
emmë²,mother (familiar/family)
emmë²,MOTHER (FAMILIAR/FAMILY)
emmë²,Mother (familiar/family)
amorta-,to heave
amorta-,TO HEAVE
amorta-,To heave
ampa,hook
ampa,HOOK
ampa,Hook
empollië,*retrying
empollië,*RETRYING
empollië,redoing
empollië,REDOING
empollië,Redoing
empollië,another attempt
empollië,ANOTHER ATTEMPT
empollië,Another attempt
amya,mummy
amya,MUMMY
amya,Mummy
amya,(orig.) my mother
amya,(ORIG.) MY MOTHER
am(il)ye,*mummy
am(il)ye,*MUMMY
emya,mummy
emya,MUMMY
emya,Mummy
emya,(orig.) my mother
emya,(ORIG.) MY MOTHER
(a)nacca,narrows
(a)nacca,NARROWS
(a)nacca,Narrows
(a)nacca,defile
(a)nacca,DEFILE
(a)nacca,Defile
(a)nacca,pass
(a)nacca,PASS
(a)nacca,Pass
(a)nacca,cut
(a)nacca,CUT
(a)nacca,Cut
nacca,narrows
nacca,NARROWS
nacca,Narrows
nacca,defile
nacca,DEFILE
nacca,Defile
nacca,pass
nacca,PASS
nacca,Pass
nacca,cut
nacca,CUT
nacca,Cut
Anar,Sun
Anar,sun
Anar,SUN
Anarya,Sunday
Anarya,sunday
Anarya,SUNDAY
Anarya,(lit.) Sun-day
Anarya,(lit.) sun-day
Anarya,(LIT.) SUN-DAY
Anarya,(lit.) sun-day
anastorna,*extremely hard
anastorna,*EXTREMELY HARD
anca,jaws
anca,JAWS
anca,Jaws
ancárima,easy
ancárima,EASY
ancárima,Easy
ancárima,(lit.) very doable
ancárima,(LIT.) VERY DOABLE
anda,long
anda,LONG
anda,Long
anda,far
anda,FAR
anda,Far
andamacil,long sword
andamacil,LONG SWORD
andamacil,Long sword
andanéya,long ago
andanéya,LONG AGO
andanéya,Long ago
andanéya,once upon a time
andanéya,ONCE UPON A TIME
andanéya,Once upon a time
andatehta,long-mark
andatehta,LONG-MARK
andatehta,Long-mark
andavanwa,long-passed; long-departed
andavanwa,LONG-PASSED; LONG-DEPARTED
andavanwa,Long-passed; long-departed
andavë,long
andavë,LONG
andavë,Long
andavë,at great length
andavë,AT GREAT LENGTH
andavë,At great length
ando,gate
ando,GATE
ando,Gate
ando,[great] door; †entrances
ando,[GREAT] DOOR; †ENTRANCES
ando,approaches
ando,APPROACHES
ando,Approaches
andúna,western
andúna,WESTERN
andúna,Western
andúnë,sunset
andúnë,SUNSET
andúnë,Sunset
andúnë,evening
andúnë,EVENING
andúnë,Evening
andúnë,(orig.) going down; west
andúnë,(ORIG.) GOING DOWN; WEST
anel,daughter
anel,DAUGHTER
anel,Daughter
anessë,given (or added) name
anessë,GIVEN (OR ADDED) NAME
anessë,Given (or added) name
anessë,nickname
anessë,NICKNAME
anessë,Nickname
anessë,surname
anessë,SURNAME
anessë,Surname
anga,iron
anga,IRON
anga,Iron
angal,mirror
angal,MIRROR
angal,Mirror
anna,gift
anna,GIFT
anna,Gift
anna,(orig.) thing handed
anna,(ORIG.) THING HANDED
anna,brought
anna,BROUGHT
anna,Brought
anna,sent to a person
anna,SENT TO A PERSON
anna,Sent to a person
anwa,gift
anwa,GIFT
anwa,Gift
anon,son
anon,SON
anon,Son
anta,jaw
anta,JAW
anta,Jaw
anta-,to give
anta-,TO GIVE
anta-,To give
anta-,present; †to add to
anta-,PRESENT; †TO ADD TO
anta-,Present; †to add to
antil,*middle finger
antil,*MIDDLE FINGER
anto,mouth
anto,MOUTH
anto,Mouth
antorya-,to strengthen [of sound]
antorya-,TO STRENGTHEN [OF SOUND]
antorya-,To strengthen [of sound]
antoryamë,strengthening
antoryamë,STRENGTHENING
antoryamë,Strengthening
anya-,to reach
anya-,TO REACH
anya-,To reach
anya-,arrive at
anya-,ARRIVE AT
anya-,Arrive at
anya-,go to
anya-,GO TO
anya-,Go to
ten-,to arrive
ten-,TO ARRIVE
ten-,To arrive
ten-,come to
ten-,COME TO
ten-,Come to
tenya-,to arrive
tenya-,TO ARRIVE
tenya-,To arrive
tenya-,end (not at speaker’s[?] place)
tenya-,END (NOT AT SPEAKER’S[?] PLACE)
tenya-,End (not at speaker’s[?] place)
ap-,to touch one
ap-,TO TOUCH ONE
ap-,To touch one
ap-,concern
ap-,CONCERN
ap-,Concern
ap-,affect
ap-,AFFECT
ap-,Affect
apacen,foresight
apacen,FORESIGHT
apacen,Foresight
apacen,*(lit.) after-sight
apacen,*(LIT.) AFTER-SIGHT
apacenya,of foresight
apacenya,OF FORESIGHT
apacenya,Of foresight
(apa)ruivë,wild fire
(apa)ruivë,WILD FIRE
(apa)ruivë,Wild fire
(apa)ruivë,fire as conflagration
(apa)ruivë,FIRE AS CONFLAGRATION
(apa)ruivë,Fire as conflagration
ruivë,wild fire
ruivë,WILD FIRE
ruivë,Wild fire
appa-,to touch
appa-,TO TOUCH
appa-,To touch
apsen-,to remit
apsen-,TO REMIT
apsen-,To remit
apsen-,release
apsen-,RELEASE
apsen-,Release
apsen-,forgive
apsen-,FORGIVE
apsen-,Forgive
apta-,to refuse
apta-,TO REFUSE
apta-,To refuse
apta-,deny
apta-,DENY
apta-,Deny
apta-,say nay
apta-,SAY NAY
apta-,Say nay
aqua,fully
aqua,FULLY
aqua,Fully
aqua,completely
aqua,COMPLETELY
aqua,Completely
aqua,altogether
aqua,ALTOGETHER
aqua,Altogether
aqua,wholly
aqua,WHOLLY
aqua,Wholly
aquapahtië,privacy
aquapahtië,PRIVACY
aquapahtië,Privacy
aquapahtië,*(lit.) full-closedness
aquapahtië,*(LIT.) FULL-CLOSEDNESS
aran,king
aran,KING
aran,King
arandil,king’s friend
arandil,KING’S FRIEND
arandil,King’s friend
arandil,royalist
arandil,ROYALIST
arandil,Royalist
arandur,minister
arandur,MINISTER
arandur,Minister
arandur,steward
arandur,STEWARD
arandur,Steward
arandur,(lit.) king’s servant
arandur,(LIT.) KING’S SERVANT
aranel,princess
